frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
171,1748368180.959240,pizza,"Pizza Slice",0.920,1.690,2450.669,6.739,2589.377,2414,2414,2414,2399,15
172,1748368181.059429,pizza,"Pizza Slice",0.958,1.789,2862.192,5.017,3121.233,2717,2717,2717,2709,10
173,1748368181.159644,pizza,"Pizza Slice",0.981,1.843,2469.233,6.176,2622.329,2550,2550,2550,2540,14
174,1748368181.259823,pizza,"Pizza Slice",1.030,1.954,3095.173,7.555,3258.167,2897,2897,2897,2890,16
175,1748368181.360037,pizza,"Pizza Slice",1.081,2.056,3200.730,7.330,3478.131,3172,3172,3172,3166,16
176,1748368181.460240,pizza,"Pizza Slice",1.069,2.151,3474.651,5.902,3650.286,3267,3267,3267,3259,13
177,1748368181.560432,pizza,"Pizza Slice",1.050,2.014,3185.438,6.100,3356.909,3184,3184,3184,3176,13
178,1748368181.660627,pizza,"Pizza Slice",1.179,2.317,3983.728,7.760,4288.361,3703,3703,3703,3698,17
179,1748368181.760828,pizza,"Pizza Slice",1.157,2.293,3994.067,8.289,4192.338,3721,3721,3721,3710,18
180,1748368181.861022,pizza,"Pizza Slice",1.172,2.346,4036.004,7.265,4235.217,3872,3872,3872,3863,16
181,1748368181.961222,pizza,"Pizza Slice",1.285,2.580,4369.230,9.252,4694.256,4182,4182,4182,4172,21
182,1748368182.061394,pizza,"Pizza Slice",1.178,2.350,4179.879,8.216,4387.453,4070,4070,4070,4062,19
183,1748368182.161614,pizza,"Pizza Slice",1.205,2.447,4845.339,7.602,5068.231,4452,4452,4452,4441,16
184,1748368182.261808,pizza,"Pizza Slice",1.233,2.493,4715.069,10.531,5038.948,4441,4441,4441,4437,23
185,1748368182.362018,pizza,"Pizza Slice",1.246,2.571,4360.421,7.916,4575.579,4305,4305,4305,4297,19
186,1748368182.462211,pizza,"Pizza Slice",1.375,2.941,4571.052,8.294,4803.973,4606,4606,4606,4594,18
187,1748368182.562410,pizza,"Pizza Slice",1.352,2.894,4674.043,8.981,5014.752,4741,4741,4741,4725,20
188,1748368182.662780,pizza,"Pizza Slice",1.305,2.798,5038.635,10.191,5284.147,5151,5151,5151,5140,23
189,1748368182.762888,pizza,"Pizza Slice",1.294,2.782,5442.309,9.304,5787.867,5289,5289,5289,5280,20
1,1748368164.126200,pizza,"Pizza Slice",0.615,0.759,8.689,2.891,76.007,80,80,80,68,4
